Created;Puls In A (vertrek SWW Hotel),  HT SWW, m3;Puls In B (retour SWW Hotel),  HT SWW, m3;
2023-08-23 15:00:00;33048,650;28570,730;
2023-08-23 16:00:00;33049,990;28572,070;
2023-08-23 17:00:00;33051,380;28573,410;
2023-08-23 18:00:00;33052,940;28574,720;
2023-08-23 19:00:00;33054,440;28576,030;
2023-08-23 20:00:00;33055,860;28577,360;
2023-08-23 21:00:00;33057,270;28578,700;
2023-08-23 22:00:00;33058,730;28580,030;
2023-08-23 23:00:00;33060,280;28581,350;
2023-08-24 00:00:00;33061,690;28582,690;
2023-08-24 01:00:00;33063,070;28584,040;
2023-08-24 02:00:00;33064,410;28585,390;
2023-08-24 03:00:00;33065,770;28586,750;
2023-08-24 04:00:00;33067,110;28588,100;
2023-08-24 05:00:00;33068,460;28589,460;
2023-08-24 06:00:00;33069,840;28590,820;
2023-08-24 07:00:00;33071,650;28592,070;
2023-08-24 08:00:00;33073,330;28593,370;
2023-08-24 09:00:00;33074,830;28594,690;
2023-08-24 10:00:00;33076,190;28596,030;
2023-08-24 11:00:00;33077,620;28597,360;
2023-08-24 12:00:00;33078,970;28598,680;
2023-08-24 13:00:00;33080,320;28600,000;
2023-08-24 14:00:00;33081,660;28601,330;
2023-08-24 15:00:00;33083,040;28602,650;
2023-08-24 16:00:00;33084,380;28603,990;
2023-08-24 17:00:00;33085,740;28605,320;
2023-08-24 18:00:00;33087,190;28606,640;
2023-08-24 19:00:00;33088,670;28607,950;
2023-08-24 20:00:00;33090,030;28609,270;
2023-08-24 21:00:00;33091,400;28610,600;
2023-08-24 22:00:00;33092,940;28611,900;
2023-08-24 23:00:00;33094,390;28613,210;
2023-08-25 00:00:00;33095,730;28614,540;
2023-08-25 01:00:00;33097,080;28615,870;
2023-08-25 02:00:00;33098,410;28617,210;
2023-08-25 03:00:00;33099,750;28618,560;
2023-08-25 04:00:00;33101,070;28619,900;
2023-08-25 05:00:00;33102,400;28621,240;
2023-08-25 06:00:00;33103,770;28622,570;
2023-08-25 07:00:00;33105,260;28623,880;
2023-08-25 08:00:00;33106,840;28625,180;
2023-08-25 09:00:00;33108,250;28626,490;
2023-08-25 10:00:00;33109,570;28627,810;
2023-08-25 11:00:00;33110,920;28629,110;
2023-08-25 12:00:00;33112,230;28630,420;
2023-08-25 13:00:00;33113,610;28631,720;
2023-08-25 14:00:00;33114,950;28633,030;
2023-08-25 15:00:00;33116,280;28634,350;
2023-08-25 16:00:00;33117,610;28635,670;
2023-08-25 17:00:00;33118,980;28636,990;
2023-08-25 18:00:00;33120,500;28638,280;
2023-08-25 19:00:00;33121,870;28639,600;
2023-08-25 20:00:00;33123,240;28640,920;
2023-08-25 21:00:00;33124,650;28642,230;
2023-08-25 22:00:00;33126,060;28643,530;
2023-08-25 23:00:00;33127,420;28644,860;
2023-08-26 00:00:00;33128,830;28646,170;
2023-08-26 01:00:00;33130,260;28647,490;
2023-08-26 02:00:00;33131,580;28648,810;
2023-08-26 03:00:00;33132,920;28650,150;
2023-08-26 04:00:00;33134,260;28651,500;
2023-08-26 05:00:00;33135,650;28652,820;
2023-08-26 06:00:00;33136,990;28654,180;
2023-08-26 07:00:00;33138,350;28655,530;
2023-08-26 08:00:00;33139,870;28656,840;
2023-08-26 09:00:00;33141,380;28658,150;
2023-08-26 10:00:00;33142,760;28659,510;
2023-08-26 11:00:00;33144,120;28660,840;
2023-08-26 12:00:00;33145,550;28662,160;
2023-08-26 13:00:00;33146,880;28663,510;
2023-08-26 14:00:00;33148,380;28664,830;
2023-08-26 15:00:00;33149,900;28666,140;
2023-08-26 16:00:00;33151,550;28667,430;
2023-08-26 17:00:00;33152,980;28668,750;
2023-08-26 18:00:00;33154,500;28670,040;
2023-08-26 19:00:00;33155,940;28671,340;
2023-08-26 20:00:00;33157,290;28672,660;
2023-08-26 21:00:00;33158,680;28673,970;
2023-08-26 22:00:00;33160,120;28675,290;
2023-08-26 23:00:00;33161,550;28676,600;
2023-08-27 00:00:00;33163,020;28677,930;
2023-08-27 01:00:00;33164,470;28679,260;
2023-08-27 02:00:00;33165,840;28680,590;
2023-08-27 03:00:00;33167,170;28681,930;
2023-08-27 04:00:00;33168,630;28683,260;
2023-08-27 05:00:00;33169,980;28684,630;
2023-08-27 06:00:00;33171,340;28685,990;
2023-08-27 07:00:00;33172,770;28687,330;
2023-08-27 08:00:00;33174,150;28688,670;
2023-08-27 09:00:00;33176,080;28689,860;
2023-08-27 10:00:00;33177,820;28691,150;
2023-08-27 11:00:00;33179,260;28692,490;
2023-08-27 12:00:00;33180,650;28693,840;
2023-08-27 13:00:00;33182,010;28695,190;
2023-08-27 14:00:00;33183,450;28696,530;
2023-08-27 15:00:00;33184,820;28697,880;
2023-08-27 16:00:00;33186,210;28699,220;
2023-08-27 17:00:00;33187,680;28700,550;
2023-08-27 18:00:00;33189,170;28701,880;
2023-08-27 19:00:00;33190,620;28703,210;
2023-08-27 20:00:00;33192,240;28704,530;
2023-08-27 21:00:00;33193,660;28705,860;
2023-08-27 22:00:00;33195,030;28707,200;
2023-08-27 23:00:00;33196,610;28708,510;
2023-08-28 00:00:00;33197,980;28709,850;
2023-08-28 01:00:00;33199,310;28711,190;
2023-08-28 02:00:00;33200,660;28712,540;
2023-08-28 03:00:00;33202,000;28713,900;
2023-08-28 04:00:00;33203,350;28715,270;
2023-08-28 05:00:00;33204,710;28716,630;
2023-08-28 06:00:00;33206,110;28717,980;
2023-08-28 07:00:00;33207,630;28719,310;
2023-08-28 08:00:00;33209,100;28720,640;
2023-08-28 09:00:00;33210,660;28721,970;
2023-08-28 10:00:00;33212,080;28723,330;
2023-08-28 11:00:00;33213,530;28724,690;
2023-08-28 12:00:00;33214,890;28726,060;
2023-08-28 13:00:00;33216,240;28727,410;
2023-08-28 14:00:00;33217,610;28728,750;
2023-08-28 15:00:00;33219,030;28730,080;
2023-08-28 16:00:00;33220,370;28731,430;
2023-08-28 17:00:00;33221,760;28732,780;
2023-08-28 18:00:00;33223,120;28734,120;
2023-08-28 19:00:00;33224,590;28735,460;
2023-08-28 20:00:00;33226,050;28736,800;
2023-08-28 21:00:00;33227,620;28738,120;
